name|col|typ|max_length|precision|scale|is_nullable|is_identity|default_def
T_Versements|ModeVersement|nvarchar|100|0|0|0|0|NULL
T_Versements|NombreOperations|int|4|10|0|0|0|((0))
T_Versements|Observation|nvarchar|1000|0|0|1|0|NULL
T_Versements|UserLogin|nvarchar|100|0|0|0|0|NULL
T_Versements|DateSys|datetime2|8|27|7|0|0|NULL
T_Versements|StatutCloture|int|4|10|0|0|0|((0))
T_Versements|MotifRejet|nvarchar|1000|0|0|1|0|NULL
T_Versements|TraitePar|nvarchar|100|0|0|1|0|NULL
T_Versements|DateTraitement|datetime2|8|27|7|1|0|NULL
T_YesNo|Id|bit|1|1|0|0|0|NULL
T_YesNo|Description|varchar|50|0|0|1|0|NULL

(155 lignes affectées)
